Country,Edu2.FM,Labo.FM,Edu.Exp,Life.Exp,GNI,Mat.Mor,Ado.Birth,Parli.F
Norway,1.0072388831437435,0.8908296943231441,17.5,81.6,64992,4,7.8,39.6
Australia,0.9968287526427062,0.8189415041782729,20.2,82.4,42261,6,12.1,30.5
Switzerland,0.9834368530020704,0.8251001335113484,15.8,83,56431,6,1.9,28.5
Denmark,0.9886128364389236,0.8840361445783133,18.7,80.2,44025,5,5.1,38
Netherlands,0.969060773480663,0.8286118980169972,17.9,81.6,45435,6,6.2,36.9
Germany,0.9927835051546392,0.8072289156626505,16.5,80.9,43919,7,3.8,36.9
Ireland,1.024173027989822,0.7797356828193833,18.6,80.9,39568,9,8.2,19.9
United States,1.0031645569620251,0.8171262699564585,16.5,79.1,52947,28,31,19.4
Canada,1,0.867605633802817,15.9,82,42155,11,14.5,28.2
New Zealand,0.9968520461699896,0.8401084010840109,19.2,81.8,32689,8,25.3,31.4
Singapore,0.9148148148148147,0.7616580310880828,15.4,83,76628,6,6,25.3
Sweden,0.990836197021764,0.8880706921944034,15.8,82.2,45636,4,6.5,43.6
United Kingdom,0.9989989989989988,0.8107714701601164,16.2,80.7,39267,8,25.8,23.5
Iceland,0.9934497816593888,0.9108527131782944,19,82.6,35182,4,11.5,41.3
Korea (Republic of),0.8641975308641976,0.694868238557559,16.9,81.9,33890,27,2.2,16.3
Israel,0.9667812142038948,0.8379160636758322,16,82.4,30676,2,7.8,22.5
Luxembourg,1,0.7848297213622292,13.9,81.7,58711,11,8.3,28.3
Japan,1.013986013986014,0.6931818181818181,15.3,83.5,36927,6,5.4,11.6
Belgium,0.9348612786489746,0.8010118043844857,16.3,80.8,41187,6,6.7,42.4
France,0.9375,0.823051948051948,16,82.2,38056,12,5.7,25.7
Austria,1,0.8064992614475628,15.7,81.4,43869,4,4.1,30.3
Finland,1,0.8703125,17.1,80.8,38695,4,9.2,42.5
Slovenia,0.9775510204081632,0.8275316455696202,16.8,80.4,27852,7,0.6,27.7
Spain,0.9138166894664844,0.7978723404255319,17.3,82.6,32045,4,10.6,38
Italy,0.884472049689441,0.665546218487395,16,83.1,33030,4,4,30.1
Czech Republic,1.0020060180541626,0.7481698389458273,16.4,78.6,26660,5,4.9,18.9
Greece,0.8880597014925373,0.7072,17.6,80.9,24524,5,11.9,21
Estonia,1,0.8156748911465892,16.5,76.8,25214,11,16.8,19.8
Cyprus,0.9302325581395348,0.7876230661040788,14,80.2,28633,10,5.5,12.5
Qatar,1.1305084745762712,0.5319371727748691,13.8,78.2,123124,6,9.5,0
Slovakia,0.9959798994974872,0.7448979591836735,15.1,76.3,25845,7,15.9,18.7
Poland,0.928654970760234,0.7534668721109398,15.5,77.4,23177,3,12.2,22.1
Lithuania,0.9448568398727464,0.8291233283803863,16.4,73.3,24500,11,10.6,23.4
Malta,0.877237851662404,0.5716440422322775,14.4,80.6,27930,9,18.2,13
Saudi Arabia,0.860597439544808,0.25798212005108556,16.3,74.3,52821,16,10.2,19.9
Argentina,0.9774305555555556,0.6333333333333333,17.9,76.3,22050,69,54.4,36.8
United Arab Emirates,1.1944444444444442,0.5054347826086957,13.3,77,60868,8,27.6,17.5
Chile,0.9594240837696334,0.6577540106951872,15.2,81.7,21290,22,55.3,15.8
Portugal,0.9896265560165975,0.8293051359516616,16.3,80.9,25757,8,12.6,31.3
Hungary,0.9918946301925026,0.7466666666666666,15.4,75.2,22916,14,12.1,10.1
Bahrain,1.103112840466926,0.45109321058688145,14.4,76.6,38599,22,13.8,15
Latvia,0.9989898989898992,0.812130177514793,15.2,74.2,22281,13,13.5,18
Croatia,0.9081196581196582,0.7654109589041097,14.8,77.3,19409,13,12.7,25.8
Kuwait,0.9875666074600356,0.5246690734055356,14.7,74.4,83961,14,14.5,1.5
Montenegro,0.8891235480464625,0.7504363001745201,15.2,76.2,14558,7,15.2,17.3
Belarus,0.9436008676789588,0.7939778129952456,15.7,71.3,16676,1,20.6,30.1
Russian Federation,0.9686486486486486,0.796373779637378,14.7,70.1,22352,24,25.7,14.5
Oman,0.8266199649737304,0.35108958837772397,13.6,76.8,34858,11,10.6,9.6
Romania,0.9358695652173912,0.7503852080123267,14.2,74.7,18108,33,31,12
Uruguay,1.0815109343936382,0.7239583333333334,15.5,77.2,19283,14,58.3,11.5
Bahamas,1.041095890410959,0.8738965952080706,12.6,75.4,21336,37,28.5,16.7
Kazakhstan,0.9645748987854252,0.8690629011553274,15,69.4,20867,26,29.9,20.1
Barbados,1.0205245153933866,0.8603133159268931,15.4,75.6,12488,52,48.4,19.6
Bulgaria,0.9717868338557992,0.811864406779661,14.4,74.2,15596,5,35.9,20.4
